mae_t_train_real,mae_t_train_aug,medae_t_train_real,medae_t_train_aug,mae_t_val_real,mae_t_val_aug,medae_t_val_real,medae_t_val_aug,mae_t_train_tot,mae_t_val_tot,mae_t_test_tot,medae_t_train_tot,medae_t_val_tot,medae_t_test_tot,abs_error_t_train_real,abs_error_t_val_real,abs_error_t_test_tot,abs_error_t_train_aug,abs_error_t_val_aug,rel_error_t_train_real,rel_error_t_val_real,rel_error_t_test_tot,rel_error_t_train_aug,rel_error_t_val_aug
7.919031740640096,10.216523655333692,6.838793402777778,7.762230902777778,14.188841145833333,14.288844221716465,14.288333333333334,14.173033854166667,10.188356110537342,14.28773615439366,9.711223958333333,7.723133680555556,14.173033854166667,7.055373263888889,2.469704861111111,20.87348090277778,8.31025173611111,50.856180555555554,17.40435329861111,0.032085085076054204,0.2101286624889545,0.09559552472735522,0.36072990112892334,0.3000899904097538
7.317242225241545,9.3899153423255,5.196458333333333,7.478315972222223,8.07405056423611,9.178103154372272,8.490091145833333,8.3925,9.365753415466434,9.16492043687811,8.34300037202381,7.472300347222222,8.3925,7.650859375,4.950802951388889,12.839722222222223,0.6776215277777777,5.825494791666666,12.829730902777778,0.07189026462378689,0.21041730208082013,0.006712761039397033,0.106442015012975,0.1422639486982139
6.629428781702899,8.928265076921129,7.31875,8.416621093749999,23.775591362847223,23.043280371127555,17.73281032986111,20.842916666666667,8.90102487352596,23.05229342948718,6.532392113095237,8.374283854166666,20.842916666666667,3.619765625,9.964166666666667,7.305217013888889,4.95703125,14.934513888888889,15.465746527777778,0.12026351962986558,0.0872137440970472,0.0630547448350429,0.1470498339461065,0.14709664656891125
5.2511733846618345,8.026732099814136,4.373025173611111,6.982291666666667,22.5241015625,22.150277657585473,24.057743055555555,22.310789930555554,7.993758003508092,22.15482262907379,11.362185639880952,6.976150173611111,22.36762152777778,9.950868055555556,16.337934027777777,15.736944444444445,7.055373263888889,4.184006076388889,29.938932291666667,0.16799884176280558,0.256542274026074,0.08799387404771886,0.0833604140785747,0.2800189853012492
5.939677498490339,9.475114686825252,4.078736979166667,7.329928385416666,7.236393229166667,9.607649063176407,7.871467013888889,8.7696875,9.432916941453325,9.577248347355768,17.546091269841273,7.248250868055556,8.7696875,16.590989583333332,15.357899305555556,2.377230902777778,33.17225694444444,0.41616319444444444,18.982721354166667,0.13940112426691947,0.027346059152652317,0.6987147044712545,0.006910489329151946,0.29167981863324166
7.501134133454107,10.210142665465293,5.1736024305555555,8.179895833333333,3.8306369357638888,6.832340768532591,3.9852408854166663,5.218051215277778,10.178530693757398,6.796284266036869,10.913619791666665,8.123159722222223,5.218051215277778,8.21689236111111,4.1448394097222225,6.87375,3.821814236111111,30.729730902777778,7.517738715277778,0.0553524743945009,0.06919650347303781,0.04313911734089184,0.29499334652223813,0.09799645782098056
5.460451955012077,8.438920310546177,4.339887152777778,6.795121527777778,9.795824652777778,11.477566978663445,10.267456597222223,10.125876736111111,8.40265521145815,11.458291994985672,16.46840587797619,6.768424479166667,10.125876736111111,13.474175347222221,27.668836805555557,10.106432291666666,9.98421875,27.366762152777778,9.606414930555555,0.21484842618615715,0.14596995097311546,0.1442047875434803,0.22635329813806854,0.10359294654454596
6.468081785929952,8.56676789925876,5.534982638888889,7.523151041666667,17.463858506944444,19.243156496660596,11.264904513888888,12.662890625,8.541065140682317,19.223920842717718,6.2022594246031755,7.5154817708333335,12.662890625,4.917690972222222,1.6786458333333334,12.9387890625,4.278394097222222,28.485104166666666,20.06060329861111,0.020479893315620383,0.27253262240073955,0.05558260857797585,0.2603708892897422,0.221852811241298
6.105899192330917,8.87845957268789,5.218576388888889,8.229171006944444,16.609289279513888,19.547585406861387,7.211848958333333,12.65564670138889,8.844985090405366,19.50905037568306,9.838479662698413,8.1759375,12.624600694444444,5.855364583333333,2.013689236111111,14.168159722222223,11.405277777777778,18.633776041666668,25.705907118055556,0.03107651689872766,0.1403548539775401,0.186909633864881,0.16919153485476723,0.4632027874250535
11.157539062500001,11.888522220391986,10.043168402777777,9.933550347222223,7.152956814236111,8.284422997368706,4.208606770833333,5.909743923611112,11.880178492038874,8.267015825320511,10.361783854166665,9.933585069444444,5.863541666666666,11.524809027777778,15.776822916666667,12.959800347222222,18.920625,10.343177083333334,4.358454861111111,0.15636227173993839,0.1318392710805923,0.19247838250254326,0.11518290697701397,0.06688100546756422
7.409251773852658,9.378906455052492,5.867170138888889,7.33484375,1.9065494791666666,6.678693741020115,1.8581597222222221,5.870494791666666,9.35540953717511,6.613766608205783,11.063562748015872,7.305197482638889,5.7391167534722225,6.393420138888889,6.838793402777778,21.2974609375,4.669453125,14.920130208333333,14.561857638888888,0.10026004548823496,0.4485932069637361,0.058236928761229045,0.14539231374305828,0.2194606440883648
4.4142680027173915,6.969607212744335,4.603190104166667,5.756744791666667,18.882133246527776,17.263899474268545,18.78049045138889,14.653463541666667,6.939467314369659,17.283939520983832,18.350071304563492,5.725998263888888,14.653463541666667,19.6365625,6.686480034722222,46.676944444444445,10.409279513888889,9.99265625,25.27125,0.08965513589061708,0.3624463190680278,0.10199648406773018,0.1609711456221321,0.43658580294726546
8.841524381038647,10.294129288586586,7.468177083333333,8.789815538194444,8.948364800347223,8.996615734269612,6.427456597222222,6.8861328125,10.277178546387901,8.996006889677533,17.5655859375,8.785342881944445,6.8861328125,10.256935763888889,7.102986111111111,24.760052083333335,1.0671137152777779,10.448428819444445,7.710334201388889,0.0708568522967532,0.3629944351232703,0.015495483889834544,0.08898162652007448,0.09723382443011737
5.234000981280192,8.146203052247817,3.832877604166667,6.3934375,9.207713758680555,10.688109781557666,10.149928385416667,8.55232421875,8.111747986593365,10.669604831271702,14.440699404761904,6.311226128472223,8.55232421875,14.79506076388889,8.082413194444445,26.72894965277778,7.650859375,7.809314236111111,11.979097222222222,0.0875096241469848,0.2426142767274983,0.12509069078275087,0.09965420285266861,0.21272533408476169
7.027276758756039,9.608485055993814,6.321762152777778,8.417916666666667,14.078982204861111,16.93089964022758,3.705525173611111,8.405546874999999,9.578379685387088,16.8969482421875,8.779461805555554,8.405928819444444,8.358502604166667,10.038029513888889,11.469904513888888,15.25197048611111,3.584513888888889,11.145377604166667,18.05572482638889,0.11668265019215553,0.1551573803266644,0.04806266946753673,0.18327778747257947,0.27924108354996136
6.057205615942028,8.323569988818267,4.9222222222222225,7.140590277777778,6.039034288194443,7.14549797905816,7.400705295138889,6.607380642361111,8.297109897155245,7.128475460737179,17.091529637896823,7.1176171875000005,6.667374131944444,7.932061631944444,0.2964105902777778,23.35543402777778,7.807708333333333,4.281657986111111,18.53443576388889,0.004529597820688601,0.4919407567548592,0.09321276496962301,0.04736886786708863,0.28207626772136
