CME_num,LASCO_Start,Start_Date,Arrival_Date,PE_duration,Arrival_v,Transit_time,Transit_time_err,LASCO_Date,LASCO_v,LASCO_pa,LASCO_da,LASCO_halo,v_r,v_r_err,Theta_source,Phi_source,source_err,POS_source_angle,rel_wid,Mass,SW_type,Bz,DST,v_r_stat,Accel.,Analyitic_w,Analyitic_gamma,filename,Wind speed,Wind dens
index,datetime,datetime,datetime,hours,km/s,hours,hours,datetime,km/s,deg,deg,,km/s,km/s,arcsec,arcsec,arcsec,deg,rad,g,,nT,nT,km/s,m/s^2,km/s,km^-1,,km/s,1/cm^3
15,1998-01-03 00:57:18.000,1998-01-03 05:32:03.840,1998-01-07 01:00:00,45.0,400,91.46555555555555,0.55225,1998-01-02 23:28:20,438.0,-9999.0,360.0,FH,650.72,81.078,6.220842638578714,9.246415119496017,20.0,78.87083674180087,0.7853981633974483,5500000000000000.0,S,16,-77.0,491.32599999999996,0,397.75,1.3375e-06,CME_015_param_inv.txt,      373.308,      4.37923
16,1998-01-17 04:40:15.000,1998-01-17 08:52:53.160,1998-01-21 06:00:00,31.0,380,93.11833333333334,0.85226,1998-01-17 04:09:20,350.0,-9999.0,360.0,FH,608.05,119.62,-10.551455963600912,-8.672775430614236,20.0,76.37294124635831,0.7853981633974483,1600000000000000.0,S,13,-11.0,400.95,0,371.25,3.2821e-07,CME_016_param_inv.txt,      333.615,      14.1231
17,1998-01-25 15:51:45.000,1998-01-25 17:41:59.640,1998-01-29 20:00:00,29.0,380,98.3,0.38622,1998-01-25 15:26:34,693.0,-9999.0,360.0,FH,1319.9,251.46,-24.983933413332345,2.8931715853551836,20.0,64.85979489612178,1.1519173063162575,1.1e+16,S,7,-55.0,753.2109999999999,0,0,0,CME_017_param_inv.txt,      405.231,      6.40615
18,1998-02-14 06:55:05.000,1998-02-15 03:01:15.800,1998-02-17 10:00:00,11.0,400,54.97888888888889,2.145,1998-02-14 06:55:05,123.0,137.0,206.0,HH,154.19,17.325,-26.288666590477284,-8.710136855187786,20.0,62.40375801292115,0.5585053606381855,1900000000000000.0,F,12,-100.0,167.82099999999997,0,0,0,CME_018_param_inv.txt,      363.154,      5.17615
19,1998-02-28 12:48:00.000,1998-02-28 23:11:13.200,1998-03-04 13:00:00,44.0,350,85.81277777777778,2.0258,1998-02-28 12:48:00,176.0,236.0,169.0,PH,285.12,59.522,11.939937258039173,-13.744959500578565,20.0,71.86900971812996,0.5585053606381855,490000000000000.0,F,12,-36.0,222.25199999999998,0,0,0,CME_019_param_inv.txt,      346.077,      24.1908
20,1998-04-29 16:58:54.000,1998-04-29 18:46:12.960,1998-05-02 05:00:00,45.0,520,58.22972222222222,0.1254,1998-04-29 16:58:54,1374.0,-9999.0,360.0,FH,1679.8,118.55,-24.595862206889652,-0.7109524523773824,20.0,65.39450357825578,1.1519173063162575,1e+16,S,11,-85.0,1452.598,0,466.2,8.4746e-08,CME_020_param_inv.txt,      328.846,      9.19000
21,1998-05-02 14:06:12.000,1998-05-02 16:17:35.640,1998-05-04 10:00:00,85.0,550,41.70666666666666,0.20944,1998-05-02 14:06:12,938.0,-9999.0,360.0,FH,1358.3,129.76,6.150428052398253,-19.63630445651812,20.0,69.45934890000305,1.1519173063162575,7700000000000000.0,S,10,-205.0,1004.8259999999999,0,0,0,CME_021_param_inv.txt,      614.769,      4.23231
22,1998-06-21 06:15:22.000,1998-06-22 00:12:50.800,1998-06-24 16:00:00,31.0,450,63.78583333333333,1.9422,1998-06-21 05:35:10,148.0,289.0,78.0,N,171.01,19.302,311.24315566104167,-903.915758272947,20.0,-41.125988879247174,0.6806784082777885,-9999.0,S,12,-25.0,193.49599999999998,0,0,0,CME_022_param_inv.txt,      434.615,      9.85846
23,1998-10-15 10:04:36.000,1998-10-15 14:34:26.280,1998-10-19 04:00:00,27.0,390,85.42583333333333,1.497,1998-10-15 10:04:36,262.0,-9999.0,360.0,FH,431.31,134.1,27.99930001749956,-0.4999875003124921,20.0,61.99659726037929,0.5585053606381855,-9999.0,S,18,-112.0,310.57399999999996,0,0,0,CME_023_param_inv.txt,     0.000000,     0.000000
24,1998-11-04 07:54:06.000,1998-11-04 12:15:05.280,1998-11-07 22:00:00,27.0,450,81.74833333333333,0.57452,1998-11-04 07:54:06,523.0,-9999.0,360.0,FH,721.42,98.307,0.24290037749056276,-2.407010074748132,20.0,87.58077215212957,0.7853981633974483,-9999.0,S,15,-81.0,578.621,0,448.29,1.973e-06,CME_024_param_inv.txt,      381.000,      5.45308
